date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol,symbol_encoded
2024-11-19,1260.75,1281.5,1235.15,1241.65,14183746,-0.0151497124727344,-0.0243969513632434,0.0122423878658291,14209733.4,1306.4824999999998,1381.946,0,-0.4120819760068602,27.437624037747355,26.777282122995366,0.2029154753755082,0.1106189344823421,0.3135344098578503,0,RELIANCE,1
2024-11-21,1241.65,1243.95,1217.25,1223.0,19433843,-0.0150203358434342,-0.040219737100255,0.0123775242769138,14526369.8,1300.465,1377.1570000000002,0,-0.6985018464980604,24.78958250641999,26.771761971352845,0.2212591986917415,0.0970564186426819,0.3183156173344235,1,RELIANCE,1
2024-11-22,1229.4,1268.85,1222.45,1265.4,20471957,0.0346688470973017,0.0106625134778963,0.0212954569173757,14411044.6,1296.81,1373.235,0,0.7758620522443547,39.16454594935225,28.17377897339906,0.1803382329698117,0.1273115220483642,0.307649755018176,0,RELIANCE,1
2024-11-25,1290.0,1304.45,1282.45,1287.0,28923341,0.0170697012802274,0.0153045124644999,0.0219395273241482,16342181.3,1294.17,1369.945,0,-0.1363636301652895,44.93821171964866,28.95065190387055,0.1605283605283604,0.1419580419580419,0.3024864024864024,1,RELIANCE,1
2024-11-26,1294.95,1297.85,1284.2,1295.7,9247557,0.0067599067599068,0.0277215942891135,0.0214104212388778,15285496.4,1292.5625,1366.263,1,0.054945050919777,47.11529554993786,27.85774819645121,0.1527359728332174,0.1477193794859922,0.3004553523192096,0,RELIANCE,1
2024-11-27,1293.5,1303.85,1286.0,1293.2,9572746,-0.001929458979702,0.041517335803165,0.018861833595095,15337115.8,1290.505,1362.675,1,-0.0168067217475201,46.54577351534671,27.14290903956184,0.1549644293226104,0.1460717599752552,0.3010361892978657,0,RELIANCE,1
2024-11-28,1289.95,1296.6,1269.05,1270.8,15027412,-0.0173213733374575,0.0390842191332787,0.0195874807408733,15772747.9,1287.045,1358.664,0,-0.6950997932813187,41.68383990817684,27.17198696530741,0.1753226314132829,0.1310198300283286,0.3063424614416115,1,RELIANCE,1
2024-11-29,1280.0,1299.5,1275.25,1292.2,13202307,0.0168397859615989,0.0211790738106527,0.014427848607416,15629615.3,1284.46,1355.062,1,0.5030927627590632,47.34280401616666,27.281130753499745,0.1558582262807613,0.145410927101068,0.3012691533818294,0,RELIANCE,1
2024-12-02,1288.0,1311.35,1277.05,1309.15,11024152,0.0131171645256151,0.0172105672105673,0.0136388701576257,15470767.2,1283.315,1351.976,1,0.6166180578245499,51.36820314869625,27.78247855682119,0.1408929458045295,0.1564755757552611,0.2973685215597906,0,RELIANCE,1
2024-12-03,1317.0,1326.8,1307.0,1323.3,16869482,0.0108085398922963,0.0213012271359109,0.0139967819066549,15795654.3,1282.5475,1349.0480000000002,1,0.3181818021120286,54.4955530908564,27.212301517048243,0.1286934179702259,0.1654953525277714,0.2941887704979974,0,RELIANCE,1
2024-12-04,1326.0,1328.4,1304.05,1308.95,19608540,-0.0108441018665457,0.0121790906278997,0.0154784961650905,16338133.7,1282.8875,1345.509,1,-0.7002053100531642,50.91937319267388,27.007851408687664,0.1410672676572824,0.1563466900951144,0.2974139577523969,1,RELIANCE,1
